Timestamp, j0, j1, j2, j3
4.41,-0.7528096076170009,-0.9341484874431345,0.9708483513354782,1.0639997015071223
4.42,-0.7577265520680488,-0.935593099971733,0.9790991318933026,1.0654530627601375
4.43,-0.7643568316991065,-0.9370412927467298,0.9873064285538574,1.066901868302654
4.44,-0.7653699384017791,-0.9384944790248582,0.9954672430875104,1.0683466364273273
4.45,-0.7675146241124305,-0.9399483775120854,1.0035927607295099,1.0697864667436867
4.46,-0.76549562943358,-0.9414039250725037,1.0116808785817983,1.0712217215576219
4.47,-0.7637073086468306,-0.9428578770104703,1.019739305015266,1.0726516601348084
4.48,-0.7627661180344172,-0.9443104245486896,1.027767425510696,1.0740764156434652
4.49,-0.7563572447361051,-0.9457622631224739,1.0357635691229472,1.0754962656626874
4.5,-0.7514655303107513,-0.9472089369225842,1.043737053948991,1.0769100178713644
4.51,-0.7475012862861733,-0.94865163556175,1.0516848557561156,1.0783180536317716
4.52,-0.7441625541108419,-0.9500910957333588,1.0596050728321715,1.0797206409595892
4.53,-0.7412741232892724,-0.951527822118135,1.0674963871770775,1.0811179901507748
4.54,-0.7387253061951283,-0.9529621847747192,1.075357824697294,1.0825102780530127
4.55,-0.7364417211712859,-0.9543944687196334,1.0831886319252104,1.083897660295774
4.56,-0.7343709792533647,-0.9558249018121282,1.0909882059784388,1.0852802781004527
4.57,-0.7324747914097292,-0.9572536716316838,1.0987560517197672,1.0866582623633054
4.58,-0.7307243249051746,-0.9586809362864875,1.1064917540208044,1.0880317362473435
4.59,-0.729097325891099,-0.9601068316525878,1.1141949589724602,1.089400816904772
4.6,-0.7275762590757819,-0.961531476402595,1.1218653606768278,1.0907656166656041
4.61,-0.7261470615532662,-0.9629549756063012,1.1295026916720294,1.092126243884362
4.62,-0.7247982825549368,-0.964377423375504,1.1371067158072354,1.093482803559897
4.63,-0.7235204740695685,-0.9657989048496717,1.1446772228207462,1.0948353978000687
4.64,-0.7223057493780585,-0.9672194977151742,1.1522140241329664,1.0961841261775456
4.65,-0.7211474568792292,-0.9686392733869936,1.159716949525846,1.0975290860074463
4.66,-0.7200399348687071,-0.9700582979413612,1.1671858444821388,1.0988703725677404
4.67,-0.7189783243003656,-0.9714766328613764,1.1746205680245123,1.1002080792769695
4.68,-0.7179584238207517,-0.9728943356400157,1.182020990939349,1.1015422978396305
